"icao","airport"
"VGSG","Thakurgaon Airport"
"VGBR","Barisal Airport"
"VGRJ","Shah Makhdum Airport"
"VGSH","Shamshernagar Airport"
"VGHS","Hazrat Shahjalal International Airport"
"VGCM","Comilla Airport"
"VGSD","Saidpur Airport"
"VGCB","Cox's Bazar Airport"
"VGIS","Ishwardi Airport"
"EBKT","Kortrijk-Wevelgem International Airport"
"EBLG","Liege Airport"
"EBAW","Antwerp International Airport"
"EBOS","Ostend-Bruges International Airport"
"EBBR","Brussels Airport (Zaventem Airport)"
"EBZR","Oostmalle Airfield"
"EBCI","Brussels South Charleroi Airport"
"DFES","Sebba Airport"
"DFEZ","Zabre Airport"
"DFOT","Tougan Airport"
"DFCA","Kaya Airport"
"DFCJ","Djibo Airport"
"DFET","Tenkodogo Airport"
"DFEG","Gorom Gorom Airport"
"DFOY","Aribinda Airport"
"DFEF","Fada N'gourma Airport"
"DFON","Nouna Airport"
"DFED","Diapaga Airport"
"DFCL","Leo Airport"
"DFOU","Diebougou Airport"
"DFOG","Gaoua Airport (Amilcar Cabral Airport)"
"DFOO","Bobo Dioulasso Airport"
"DFOD","Dedougou Airport"
"DFCP","Po Airport"
"DFEM","Tambao Airport"
"DFFD","Ouagadougou Airport"
"DFOB","Banfora Airport"
"DFEA","Boulsa Airport"
"DFEP","Pama Airport"
"DFEE","Dori Airport"
"DFER","Arly Airport"
"DFCC","Ouahigouya Airport"
"DFEL","Kantchari Airport"
"DFEB","Bogande Airport"
"LBBG","Burgas Airport"
"LBGO","Gorna Oryahovitsa Airport"
"LBRS","Ruse Airport"
"LBWN","Varna Airport"
"LBPD","Plovdiv Airport"
"LBSS","Silistra Airfield"
"LBSZ","Stara Zagora Airport"
"LBSF","Sofia Airport"
"LBTG","Targovishte Airport (Buhovtsi Airfield)"
"","Bezmer Air Base"
"LBHS","Haskovo Malevo Airport"
"OBBI","Bahrain International Airport"
"HBBO","Kirundo Airport"
"HBBA","Bujumbura International Airport"
"HBBE","Gitega Airport"
"DBBK","Kandi Airport"
"DBBD","Djougou Airport"
"DBBS","Save Airport"
"DBBB","Cadjehoun Airport"
"DBBN","Boundetingou Airport"
"DBBP","Parakou Airport"
"TFFJ","Gustaf III Airport"
"TXKF","L.F. Wade International Airport"
"WBSB","Brunei International Airport"
"SLRQ","Rurrenabaque Airport"
"SLYA","Yacuiba Airport"
"SLPR","Puerto Rico Airport"
"SLRI","Riberalta Airport"
"SLSA","Santa Ana del Yacuma Airport"
"SLAS","Ascencion de Guarayos Airport"
"SLVM","Lieutenant Colonel Rafael Pabon Airport"
"SLVG","Cap. Av. Vidal Villagomez Toledo Airport"
"SLCO","Captain Anibal Arab Airport"
"SLJE","San Jose de Chiquitos Airport"
"SLJV","San Javier Airport (Bolivia)"
"SLHJ","Huacaraje Airport"
"SLUY","Uyuni Airport (Joya Andina Airport)"
"SLET","El Trompillo Airport"
"SLTJ","Capitan Oriel Lea Plaza Airport"
"SLBU","Baures Airport"
"SLSI","Capitan Av. Juan Cochamanidis Air"
"SLSM","San Ignacio de Moxos Airport"
"SLSR","Santa Rosa Airport (Bolivia)"
"SLAP","Apolo Airport"
"SLBJ","Bermejo Airport"
"SLPS","Puerto Suarez International Airport"
"SLOR","Juan Mendoza Airport"
"SLGY","Guayaramerin Airport"
"SLLP","El Alto International Airport"
"SLCP","Concepcion Airport"
"SLJO","San Joaquin Airport"
"SLMG","Magdalena Airport"
"SLCA","Camiri Airport"
"SLVR","Viru Viru International Airport"
"SLAG","Monteagudo Airport"
"SLTR","Teniente Jorge Henrich Arauz Airport"
"SLRY","Reyes Airport"
"SLSU","Juana Azurduy de Padilla International Airport"
"SLSB","Capitan German Quiroga Guardia Airport"
"SLRB","Robore Airport"
"SLTI","San Matias Airport"
"SLRA","San Ramon Airport"
"SLCB","Jorge Wilstermann International Airport"
"SLPO","Captain Nicolas Rojas Airport"
"SLHI","Chimore Airport"
"TNCE","F. D. Roosevelt Airport"
"TNCB","Flamingo International Airport"
"TNCS","Juancho E. Yrausquin Airport"
"SSUV","Uniao da Vitoria Airport"
"SBMS","Gov. Dix-Sept Rosado Airport"
"SBCT","Afonso Pena International Airport"
"SNPX","Pirapora Airport"
"SWPI","Julio Belem"
"SNVS","Breves Airport"
"SBRR","Barreirinhas Airport"
"SBVH","Vilhena Airport (Brigadeiro Camarao Airport)"
"SSRU","Sao Lourenco do Sul Airport"
"SNYE","Pinheiro Airport"
"SBCX","Caxias do Sul Airport (Hugo Cantergiani Regional Airport)"
"SWSN","Sena Madureira Airport"
"SBBV","Boa Vista International Airport"
"SBPB","Parnaiba-Prefeito Dr. Joao Silva Filho International Airport"
"SSZW","Comte. Antonio Amilton Beraldo Airport"
"SDRS","Resende Airport"
"SBTB","Porto Trombetas Airport"
"SDVG","Votuporanga Airport (Domingos Pignatari Airport)"
"SBTU","Tucurui Airport"
"SDOW","Ourilandia do Norte Airport"
"SBPF","Lauro Kurtz Airport"
"SBAT","Alta Floresta Airport"
"SSZR","Santa Rosa Airport (Brazil)"
"SBNM","Sepe Tiaraju Airport"
"SNBS","Balsas Airport"
"SBPK","Joao Simoes Lopes Neto International Airport"
"","Presidente Dutra Airport"
"SDCG","Senadora Eunice Michiles Airport"
"","Carlos Ruhl Airport"
"SWVB","Mato Grosso Airport"
"SBBR","Brasilia International Airport (Presidente J. Kubitschek Int'l Airport)"
"SNRD","Prado Airport"
"SNMA","Monte Alegre Airport"
"SNPC","Picos Airport"
"SBBP","Arthur Siqueira-Braganca Paulista State Airport"
"SNGA","Guarapari Airport"
"SWPQ","Fazenda Piraguassu Airport"
"SWPG","Aeroporto de Porto dos Gauchos Airport"
"SBCZ","Cruzeiro do Sul International Airport"
"SDUB","Ubatuba Airport"
"SBQV","Pedro Otacilio Figueiredo Airport"
"SSLI","Livramento do Brumado Airport"
"SWPM","Pimenta Bueno Airport"
"SSIJ","Joao Batista Bos Filho Airport"
"SNBR","Barreiras Airport"
"SIMK","Franca Airport (Ten. Lund Presotto-Franca State Airport)"
"SBAS","Assis Airport"
"SNBX","Barra Airport (Brazil)"
"SBFI","Foz do Iguacu International Airport"
"SILC","Bom Futuro Municipal Airport"
"SBGW","Guaratingueta Airport"
"SSOU","Aripuana Airport"
"SWSI","Presidente Joao Figueiredo Airport"
"SBPS","Porto Seguro Airport"
"SSPN","Paranaiba Airport"
"SBAR","Santa Maria Airport (Sergipe)"
"SBBW","Barra do Garcas Airport"
"SNOX","Oriximina Airport"
"SBSM","Santa Maria Airport (Rio Grande do Sul)"
"SBGU","Tancredo Thomas de Faria Airport"
"SWJI","Jose Coleto Airport"
"SBUF","Paulo Afonso Airport"
"SBMC","Minacu Airport"
"SBRG","Rio Grande Regional Airport"
"SWIY","Santa Isabel do Morro Airport"
"SBOI","Oiapoque Airport"
"SBTL","Telemaco Borba Airport"
"SBTC","Una-Comandatuba Airport"
"SSBL","Blumenau Airport"
"SWRD","Maestro Marinho Franco Airport"
"SBFZ","Pinto Martins - Fortaleza International Airport"
"SNBU","Socrates Mariani Bittencourt Airport"
"SSLT","Alegrete Airport"
"SDOU","Jornalista Benedito Pimentel-Ourinhos State Airport"
"","Alenquer Airport"
"SWKT","Catalao Airport"
"SWHT","Francisco Correa da Cruz Airport"
"SBTK","Jose Galera dos Santos Airport"
"SNAR","Almenara Airport"
"SBMA","Joao Correa da Rocha Airport"
"SSSC","Santa Cruz do Sul Airport"
"SWII","Ipiranga Airport"
"SBMK","Montes Claros/Mario Ribeiro Airport"
"SBTT","Tabatinga International Airport"
"SBMY","Manicore Airport"
"SSCL","Cassilandia Airport"
"SBIP","Vale do Aco Regional Airport"
"SNQG","Cangapara Airport"
"SBEG","Eduardo Gomes International Airport"
"SNIU","Ipiau Airport"
"SWBR","Borba Airport"
"SWLC","General Leite de Castro Airport"
"SNIC","Irece Airport"
"SBCV","Caravelas Airport"
"SBFN","Fernando de Noronha Airport (Gov. Carlos Wilson Airport)"
"SBRP","Leite Lopes Airport"
"SWCQ","Costa Marques Airport"
"SNTF","Teixeira de Freitas Airport (9 de maio Airport)"
"SSUM","Orlando de Carvalho Airport"
"SWTP","Tapuruquara Airport"
"SWXM","Orlando Villas-Boas Regional Airport"
"","Xinguara Municipal Airport"
"SWEK","Canarana Airport"
"SNDV","Divinopolis Airport (Brigadeiro Cabral Airport)"
"SNAL","Arapiraca Airport"
"SWNS","Anapolis Airport"
"SBKG","Campina Grande Airport (Presidente Joao Suassuna Airport)"
"SSAP","Apucarana Airport"
"SSOG","Arapongas Airport"
"SNAI","Alto Parnaiba Airport"
"SBAQ","Araraquara Airport"
"","Cururupu Airport"
"SDSC","Mario Pereira Lopes Airport"
"SBIC","Itacoatiara Airport"
"","Ariquemes Airport"
"SNOU","Feijo Airport"
"SWMW","Maues Airport"
"SBIH","Itaituba Airport"
"SNZW","Itubera Airport"
"","Itambacuri Airport"
"SSHZ","Horizontina Airport"
"SNHA","Itabuna Airport"
"SNMX","Sao Mateus Airport"
"SWEC","Aragarcas Airport"
"SBAU","Aracatuba Airport"
"SDUN","Itaperuna Airport"
"","Suia-Missu Airport"
"SNED","Canavieiras Airport"
"SBMQ","Alberto Alcolumbre International Airport"
"SNJD","Feira de Santana Airport (Gov. Joao Durval Carneiro Airport)"
"SSIQ","Itaqui Airport"
"SBIT","Itumbiara Airport"
"SBTD","Luiz dal Canalle Filho Airport"
"SWST","Santa Terezinha Airport"
"SNGI","Guanambi Airport"
"","Cameta Airport"
"SBMO","Zumbi dos Palmares International Airport"
"SBFL","Hercilio Luz International Airport"
"SNVB","Valenca Airport"
"SNKE","Santana do Araguaia Airport"
"SBZM","Presidente Itamar Franco Airport (Zona da Mata Regional Airport)"
"SBVG","Major Brigadeiro Trompowsky Airport"
"SBCH","Serafin Enoss Bertaso Airport"
"SWGI","Gurupi Airport"
"SBHT","Altamira Airport"
"SWDM","Diamantino Airport"
"SBCR","Corumba International Airport"
"SNWC","Camocim Airport"
"SBSN","Santarem-Maestro Wilson Fonseca Airport"
"SWDN","Dianopolis Airport"
"SBME","Benedito Lacerda Airport"
"SNSW","Soure Airport"
"","Santa Fe do Sul Airport"
"SNGM","Guimaraes Airport"
"SBCN","Caldas Novas Airport"
"SSVI","Angelo Ponzoni Municipal Airport"
"SBML","Frank Miloye Milenkowichi-Marilia State Airport"
"SWGN","Araguaina Airport"
"SBTR","Torres Airport"
"SSPI","Edu Chaves Airport"
"","Espinosa Airport"
"SBCI","Carolina Airport"
"SSDO","Dourados Airport (Francisco de Matos Pereira Airport)"
"SBPV","Governador Jorge Teixeira de Oliveira International Airport"
"SBMD","Serra do Areao Airport"
"SBST","Santos Air Force Base"
"SBCJ","Carajas Airport"
"SSCP","Cornelio Procopio Airport"
"","Xanxerê - João Winckler Airport"
"SWFX","Sao Felix do Araguaia"
"SBSJ","Professor Urbano Ernesto Stumpf International Airport"
"SWKO","Coari Airport"
"SBUA","Sao Gabriel da Cachoeira Airport"
"SBSR","Prof. Eribelto Manoel Reino State Airport"
"SNBL","Belmonte Airport"
"SBGV","Coronel Altino Machado de Oliveira Airport"
"SNLO","Sao Lourenco Airport"
"SNCP","Carutapera Airport"
"SNGD","Guadalupe Airport"
"SSJA","Santa Terezinha Municipal Airport"
"","Andre Maggi Airport"
"SNJB","Jacobina Airport"
"SBEK","Jacareacanga Airport"
"SBUP","Castilho Airport (Urubupunga Airport)"
"SNDT","Diamantina Airport"
"SWTU","Fazenda Tucunare Airport"
"SSYA","Avelino Vieira Airport"
"SBSV","Deputado Luis Eduardo Magalhaes International Airport"
"SBSL","Marechal Cunha Machado International Airport"
"SBCG","Campo Grande International Airport"
"SSVP","Santa Vitoria do Palmar Airport"
"SWRA","Arraias Airport"
"SBIL","Ilheus Jorge Amado Airport"
"SBPA","Salgado Filho International Airport"
"SBLJ","Antonio Correia Pinto de Macedo Airport"
"SBUL","Ten. Cel. Av. Cesar Bombonato Airport"
"SBPL","Senador Nilo Coelho Airport"
"","Miracema do Tocantins Airport"
"SBAX","Araxa Airport"
"SBJF","Francisco Alvares de Assis Airport"
"SNFX","Sao Felix do Xingu Airport"
"SSFB","Francisco Beltrao Airport (Paulo Abdala Airport)"
"SBBT","Chafei Amsei Airport"
"SBGM","Guajara-Mirim Airport"
"SWBC","Barcelos Airport"
"","Tucuma Airport"
"SBCY","Marechal Rondon International Airport"
"SBJU","Juazeiro do Norte Airport"
"SNJR","Prefeito Octavio de Almeida Neves Airport"
"SDCO","Sorocaba Airport"
"","Confresa Airport"
"SNMZ","Porto de Moz Airport"
"SBRB","Placido de Castro International Airport"
"SNJK","Jequie Airport"
"SWCA","Carauari Airport"
"SSPB","Juvenal Loureiro Cardoso Airport"
"SWOB","Fonte Boa Airport"
"SBGO","Santa Genoveva Airport"
"SBCA","Cascavel Airport (Adalberto Mendes da Silva Airport)"
"SBCD","Cacador Airport"
"SBCB","Cabo Frio International Airport"
"SSPG","Santos Dumont Airport"
"SBIZ","Imperatriz Airport (Prefeito Renato Moreira Airport)"
"SBPN","Porto Nacional Airport"
"SWJN","Juina Airport"
"SNOS","Municipal José Figueiredo Airport"
"SSER","Erechim Airport"
"SBBZ","Umberto Modiano Airport"
"SBJA","Humberto Ghizzo Bortoluzzi Regional Airport"
"SBTF","Tefe Airport"
"SBDB","Bonito Airport"
"SSGY","Guaira Airport"
"SSLN","Helmuth Baungartem Airport"
"SDJL","Jales Airport"
"SSCT","Gastao Mesquita Airport"
"SWNK","Novo Campo Airport"
"SNYA","Almeirim Airport"
"SWHP","Agua Boa Airport"
"SNTO","Teofilo Otoni Airport (Juscelino Kubitscheck Airport)"
"SNJN","Januaria Airport"
"SBPJ","Palmas-Brigadeiro Lysias Rodrigues Airport"
"SBVT","Eurico de Aguiar Salles Airport"
"SWVC","Vila Rica Municipal Airport"
"SNBC","Barra do Corda Airport"
"SNMU","Mucuri Airport"
"SBNT","Sao Goncalo do Amarante-Governador Aluizio Alves International Airport"
"SBPP","Ponta Pora International Airport"
"","Bento Goncalves Airport"
"SBMG","Silvio Name Junior Regional Airport"
"SBAA","Conceicao do Araguaia Airport"
"SNKI","Cachoeiro de Itapemirim Airport (Raimundo de Andrade Airport)"
"SBJV","Joinville-Lauro Carneiro de Loyola Airport"
"SWNA","Novo Aripuana Airport"
"SWTS","Tangara da Serra Airport"
"SBBG","Comandante Gustavo Kraemer Airport"
"SWKC","Caceres Airport"
"SBLN","Lins Airport"
"SNZA","Pouso Alegre Airport"
"SBJP","Presidente Castro Pinto International Airport"
"SWUA","Sao Miguel do Araguaia Airport"
"SBCM","Diomicio Freitas Airport"
"SBNF","Navegantes-Ministro Victor Konder International Airport"
"SBTG","Plinio Alarcom Airport"
"SSCK","Concordia Airport"
"SBTE","Teresina-Senador Petronio Portel Airport"
"SWJU","Juruena Airport"
"SNDC","Redencao Airport"
"SSKM","Campo Mourao Airport"
"SBAE","Moussa Nakhl Tobias-Bauru/Arealva State Airport"
"SBBE","Val de Cans International Airport"
"SWJW","Jatai Airport"
"SNDN","Leopoldina Airport"
"SNNU","Nanuque Airport"
"SBLE","Coronel Horacio de Mattos Airport"
"SWXV","Nova Xavantina Airport"
"SBLO","Londrina-Governador Jose Richa Airport"
"SIZX","Mauro Luiz Frizon Airport"
"SBDN","Presidente Prudente Airport"
"SJNP","Novo Progresso Airport"
"SWNQ","Niquelandia Air"
"","Pontes e Lacerda Airport"
"SBUR","Mario de Almeida Franco Airport"
"SBUG","Rubem Berta International Airport"
"SWLB","Labrea Airport"
"SBLP","Bom Jesus da Lapa Airport"
"SBBI","Bacacheri Airport"
"SBMN","Manaus Air Force Base"
"SBPC","Pocos de Caldas Airport"
"SSOE","Helio Wasum Airport"
"SSKW","Capital do Cafe Airport"
"SNTI","Obidos Airport"
"SNPD","Pedro Pereira dos Santos Airport"
"SWEI","Eirunepe Airport (Amaury Feitosa Tomaz Airport)"
"SBRF","Recife/Guararapes-Gilberto Freyre International Airport"
"SBCP","Bartolomeu Lysandro Airport"
"SNRU","Caruaru Airport (Oscar Laranjeiras Airport)"
"SSYA","Avelino Vieira Airport"
"SBAC","Aracati Airport"
"SSCN","Canela Airport"
"SBJE","Comte. Ariston Pessoa Regional Airport"
"SBBU","Bauru Airport"
"SDAM","Campo dos Amarais Airport"
"SBBR","Brasília International Airport"
"MYAK","South Andros Airport"
"MYNN","Lynden Pindling International Airport"
"MYCC","Cat Cay Airport"
"MYCI","Colonel Hill Airport (Crooked Island Airport)"
"MYGF","Grand Bahama International Airport"
"MYAN","San Andros Airport"
"MYCP","Pitts Town Airport"
"MYBC","Chub Cay International Airport"
"MYRD","Duncan Town Airport"
"MYEM","Governor's Harbour Airport"
"MYBG","Great Harbour Cay Airport"
"MYEH","North Eleuthera Airport"
"MYAB","Clarence A. Bain Airport"
"MYAP","Spring Point Airport"
"MYAK","South Andros Airport (Congo Town Airport)"
"MYES","Staniel Cay Airport"
"MYRP","Port Nelson Airport"
"MYLD","Deadman's Cay Airport"
"","North Seaplane Base"
"MYAM","Marsh Harbour Airport"
"MYSM","San Salvador Airport (Cockburn Town Airport)"
"MYCA","Arthur's Town Airport"
"MYER","Rock Sound International Airport"
"MYAW","Walker's Cay Airport"
"MYEN","Norman's Cay Airport"
"MYBS","South Bimini Airport"
"MYEF","Exuma International Airport"
"MYMM","Mayaguana Airport (Abraham's Bay Airport)"
"MYAT","Treasure Cay Airport"
"MYLS","Stella Maris Airport"
"MYAF","Andros Town International Airport"
"MYCB","New Bight Airport"
"MYIG","Inagua Airport (Matthew Town Airport)"
"MYGW","West End Airport"
"VQPR","Paro International Airport"
"VQTY","Yongphulla Airport (Yonphula Airport)"
"VQGP","Gelephu Airport"
"VQBT","Bathpalathang Airport"
"FBTL","Tuli Lodge Airport"
"FBSV","Savuti Airport"
"FBSN","Sua Pan Airport"
"","Hukuntsi Airport"
"FBGZ","Ghanzi Airport"
"FBKR","Khwai River Airport"
"FBTS","Tshabong Airport"
"FBSK","Sir Seretse Khama International Airport"
"FBFT","Francistown Airport"
"FBMN","Maun Airport"
"FBJW","Jwaneng Airport"
"FBKE","Kasane Airport"
"FBSW","Shakawe Airport"
"FBSP","Selebi-Phikwe Airport"
"FBOR","Orapa Airport"
"FBLO","Lobatse Airport"
"UMGG","Gomel Airport"
"UMII","Vitebsk Vostochny Airport"
"UMMG","Grodno Airport"
"UMBB","Brest Airport"
"UMMM","Minsk-1 Airport"
"UMMS","Minsk National Airport"
"UMOO","Mogilev Airport"
"","Big Creek Airport"
"","Silver Creek Airport"
"","Caye Chapel Airport"
"","San Ignacio Town Airstrip"
"MZPL","Placencia Airport"
"","Melinda Airport"
"","Corozal Airport"
"MZBZ","Philip S. W. Goldson International Airport"
"","Orange Walk Airport"
"","Independence Airport (Belize)"
"","Sarteneja Airport"
"","Hector Silva Airstrip"
"","Matthew Spain Airport"
"","Caye Caulker Airport"
"","Punta Gorda Airport"
"","John Greif II Airport"
"","Dangriga Airport"
"","Manatee Airport"
"","Belize City Municipal Airport"
"","April Point Seaplane Base"
"CZTA","Bloodvein River Airport"
"CYKC","Collins Bay Airport"
"","Kasba Lake Airport"
"CZBB","Boundary Bay Airport"
"CYDQ","Dawson Creek Airport"
"CYDP","Nain Airport"
"CYDO","Dolbeau-Saint-Felicien Airport"
"CYDN","Lt. Col W.G. (Billy) Barker VC Airport"
"CYKA","Kamloops Airport"
"CYDL","Dease Lake Airport"
"CYJT","Stephenville International Airport"
"","Hatchet Lake Airport"
"","Hinton/Jasper-Hinton Airport"
"CYID","Digby/Annapolis Regional Airport"
"","Laurie River Airport"
"CYDF","Deer Lake Regional Airport"
"","Paradise River Airport"
"CYJN","Saint-Jean Airport"
"","Drayton Valley Industrial Airport"
"CYDB","Burwash Airport"
"CYJF","Fort Liard Airport"
"CYDA","Dawson City Airport"
"CYCZ","Fairmont Hot Springs Airport"
"CYCY","Clyde River Airport"
"CYJA","Jasper Airport"
"","Taltheilei Narrows Airport"
"CYCW","Chilliwack Airport"
"CYIV","Island Lake Airport (Garden Hill Airport)"
"CYCT","Coronation Airport"
"CYCS","Chesterfield Inlet Airport"
"CYCR","Cross Lake (Charlie Sinclair Memorial) Airport"
"CYCO","Kugluktuk Airport"
"CYCN","Cochrane Aerodrome"
"CYSN","St. Catharines/Niagara District Airport"
"CYCL","Charlo Airport"
"CYVL","Colville Lake/Tommy Kochon Aerodrome"
"CYIO","Pond Inlet Airport"
"CYCH","Miramichi Airport"
"CYIK","Ivujivik Airport"
"CYCG","West Kootenay Regional Airport (Castlegar Airport)"
"","Cortes Island Aerodrome"
"CYCE","Centralia/James T. Field Memorial Aerodrome"
"CYCD","Nanaimo Airport"
"","Postville Airport"
"CYCC","Cornwall Regional Airport"
"CYHC","Vancouver Harbour Flight Centre (Coal Harbour Seaplane Base)"
"CYCB","Cambridge Bay Airport"
"","Courtenay Airpark"
"CYBF","Bonnyville Airport"
"CYBX","Lourdes-de-Blanc-Sablon Airport"
"CZBD","Ilford Airport"
"","Bedwell Harbour Water Aerodrome"
"CYBV","Berens River Airport"
"CYBT","Brochet Airport"
"","Opapimiskan Lake Airport"
"","Big Bay Water Aerodrome"
"CYBR","Brandon Municipal Airport (McGill Field)"
"CYIF","Saint-Augustin Airport"
"","Telegraph Harbour Seaplane Base"
"","Bob Quinn Lake Airport"
"CYBL","Campbell River Airport"
"CYBK","Baker Lake Airport"
"","Baie-Johan-Beetz Seaplane Base"
"CYIB","Atikokan Municipal Airport"
"","Black Tickle Airport"
"CYBH","Bull Harbour Waterdrome"
"CYBG","Canadian Forces Base Bagotville"
"","Bamfield Water Aerodrome"
"CYBE","Uranium City Airport"
"CYBC","Baie-Comeau Airport"
"CYBB","Kugaaruk Airport"
"CYBA","Banff Airport"
"CYHZ","Halifax Stanfield International Airport"
"CYAZ","Tofino/Long Beach Airport"
"CYAY","St. Anthony Airport"
"","Blubber Bay Seaplane Base"
"","Angling Lake/Wapekeka Airport"
"CYHY","Hay River/Merlyn Carter Airport"
"","Mayne Island Water Aerodrome (Miner's Bay Seaplane Base)"
"","Kattiniq/Donaldson Airport"
"CYAT","Attawapiskat Airport"
"CYAD","La Grande-3 Airport"
"","Maple Bay Seaplane Base"
"CZMD","Muskrat Dam Airport"
"","Bearskin Lake Airport"
"","Dean River Airport"
"CYHT","Haines Junction Airport"
"","Brockville Regional Tackaberry Airport"
"","Sechelt Aerodrome"
"CYAM","Sault Ste. Marie Airport"
"CYAL","Alert Bay Airport"
"","Lyall Harbour Seaplane Base"
"CYHR","Chevery Airport"
"","Great Bear Lake Airport"
"CYAH","La Grande-4 Airport"
"CYAG","Fort Frances Municipal Airport"
"CYCQ","Chetwynd Airport"
"","Moose Lake Airport"
"CYAC","Cat Lake Airport"
"CYAB","Arctic Bay Airport"
"","Anahim Lake Airport"
"CYKO","Akulivik Airport"
"CYBQ","Tadoule Lake Airport"
"CYHP","Poplar Hill Airport"
"CZSN","South Indian Lake Airport"
"CYHO","Hopedale Airport"
"CYNR","Fort MacKay/Horizon Airport"
"CYDM","Ross River Airport"
"CYHN","Hornepayne Municipal Airport"
